last,first,name,height,DOB,homeTown,year,team,city,state,country
Bavis,Mark,Mark Bavis,6-1 ,3/13/1970,"Roslindale, Massachusetts",1989,BU,Roslindale,Massachusetts,United States
Dahlberg,Dave,Dave Dahlberg,6-0 ,2/23/1971,"Bloomington, Minnesota",1989,BU,Bloomington,Minnesota,United States
Koskimäki,Petteri,Petteri Koskimäki,6-2 ,5/5/1971,"Helsinki, Finland",1989,BU,Helsinki,Finland,Finland
MacDonald,Darin,Darin MacDonald,6-0 ,1/30/1970,"Calgary, Alberta",1989,BU,Calgary,Alberta,Canada
McCann,Chris,Chris McCann,6-1 ,10/13/1967,"Woburn, Massachusetts",1989,BU,Woburn,Massachusetts,United States
McEachern,Shawn,Shawn McEachern,5-11,2/28/1969,"Waltham, Massachusetts",1989,BU,Waltham,Massachusetts,United States
Regan,Rob,Rob Regan,- ,,,1989,BU,,,
Ronan,Ed,Ed Ronan,6-0 ,3/21/1968,"Quincy, Massachusetts",1989,BU,Quincy,Massachusetts,United States
Sacco,Joe,Joe Sacco,6-1 ,2/4/1969,"Medford, Massachusetts",1989,BU,Medford,Massachusetts,United States
Sacco,David,David Sacco,6-1 ,7/31/1971,"Malden, Massachusetts",1989,BU,Malden,Massachusetts,United States
Sullivan,Mike,Mike Sullivan,6-2 ,2/27/1968,"Marshfield, Massachusetts",1989,BU,Marshfield,Massachusetts,United States
Tomlinson,David,David Tomlinson,5-11,5/8/1969,"Vancouver, British Columbia",1989,BU,Vancouver,British Columbia,Canada
Trentini,Ron,Ron Trentini,- ,,,1989,BU,,,
Bradley,John,John Bradley,6-1 ,2/5/1968,"Pawtucket, Rhode Island",1989,BU,Pawtucket,Rhode Island,United States
Cashman,Scott,Scott Cashman,6-2 ,9/20/1969,"Ottawa, Ontario",1989,BU,Ottawa,Ontario,Canada
Ahola,Peter,Peter Ahola,6-3 ,5/14/1968,"Helsinki, Finland",1990,BU,Helsinki,Finland,Finland
Brownschidle,Mark,Mark Brownschidle,6-2 ,10/26/1970,"Buffalo, New York",1990,BU,Buffalo,New York,United States
Dion,Tom,Tom Dion,5-11,4/22/1969,"Massena, New York",1990,BU,Massena,New York,United States
Foster,Stephen,Stephen Foster,6-3 ,3/21/1971,"Brockton, Massachusetts",1990,BU,Brockton,Massachusetts,United States
Krys,Mark,Mark Krys,6-0 ,5/29/1969,"Timmins, Ontario",1990,BU,Timmins,Ontario,Canada
Lachance,Scott,Scott Lachance,6-1 ,10/22/1972,"Charlottesville, Virgina",1990,BU,Charlottesville,Virgina,United States
Legault,Alexandre,Alexandre Legault,6-1 ,12/27/1971,"Chicoutimi, Quebec",1990,BU,Chicoutimi,Quebec,Canada
O'Sullivan,Kevin,Kevin O'Sullivan,5-11,11/13/1970,"Boston, Massachusetts",1990,BU,Boston,Massachusetts,United States
Von Stefenelli,Phil,Phil Von Stefenelli,5-11,4/10/1969,"Vancouver, British Columbia",1990,BU,Vancouver,British Columbia,Canada
Amonte,Tony,Tony Amonte,6-0 ,8/2/1970,"Hingham, Massachusetts",1990,BU,Hingham,Massachusetts,United States
Bavis,Mike,Mike Bavis,6-0 ,3/13/1970,"Roslindale, Massachusetts",1990,BU,Roslindale,Massachusetts,United States
Bavis,Mark,Mark Bavis,6-1 ,3/13/1970,"Roslindale, Massachusetts",1990,BU,Roslindale,Massachusetts,United States
Dahlberg,Dave,Dave Dahlberg,6-0 ,2/23/1971,"Bloomington, Minnesota",1990,BU,Bloomington,Minnesota,United States
Friedman,Doug,Doug Friedman,5-11,9/1/1971,"Cape Elizabeth, Maine",1990,BU,Cape Elizabeth,Maine,United States
Koskimäki,Petteri,Petteri Koskimäki,6-2 ,5/5/1971,"Helsinki, Finland",1990,BU,Helsinki,Finland,Finland
MacDonald,Darin,Darin MacDonald,6-0 ,1/30/1970,"Calgary, Alberta",1990,BU,Calgary,Alberta,Canada
McCann,Chris,Chris McCann,6-1 ,10/13/1967,"Woburn, Massachusetts",1990,BU,Woburn,Massachusetts,United States
McEachern,Shawn,Shawn McEachern,5-11,2/28/1969,"Waltham, Massachusetts",1990,BU,Waltham,Massachusetts,United States
Pratt,Jon,Jon Pratt,6-1 ,9/25/1970,"Danvers, Massachusetts",1990,BU,Danvers,Massachusetts,United States
Ronan,Ed,Ed Ronan,6-0 ,3/21/1968,"Quincy, Massachusetts",1990,BU,Quincy,Massachusetts,United States
Sacco,David,David Sacco,6-1 ,7/31/1971,"Malden, Massachusetts",1990,BU,Malden,Massachusetts,United States
Tkachuk,Keith,Keith Tkachuk,6-2 ,3/28/1972,"Melrose, Massachusetts",1990,BU,Melrose,Massachusetts,United States
Tomlinson,David,David Tomlinson,5-11,5/8/1969,"Vancouver, British Columbia",1990,BU,Vancouver,British Columbia,Canada
Vachon,Nick,Nick Vachon,5-10,7/20/1972,"Montreal, Quebec",1990,BU,Montreal,Quebec,Canada
Bise,Chris,Chris Bise,- ,,,1990,BU,,,
Bradley,John,John Bradley,6-1 ,2/5/1968,"Pawtucket, Rhode Island",1990,BU,Pawtucket,Rhode Island,United States
Cashman,Scott,Scott Cashman,6-2 ,9/20/1969,"Ottawa, Ontario",1990,BU,Ottawa,Ontario,Canada
Aucoin,Adrian,Adrian Aucoin,6-2 ,7/3/1973,"Ottawa, Ontario",1991,BU,Ottawa,Ontario,Canada
Brennan,Rich,Rich Brennan,6-2 ,11/26/1972,"Schenectady, New York",1991,BU,Schenectady,New York,United States
Brownschidle,Mark,Mark Brownschidle,6-2 ,10/26/1970,"Buffalo, New York",1991,BU,Buffalo,New York,United States
Dion,Tom,Tom Dion,5-11,4/22/1969,"Massena, New York",1991,BU,Massena,New York,United States
Donato,Dan,Dan Donato,- ,05/15/1970,"Dedham, Massachusetts",1991,BU,Dedham,Massachusetts,United States
Foster,Stephen,Stephen Foster,6-3 ,3/21/1971,"Brockton, Massachusetts",1991,BU,Brockton,Massachusetts,United States
Linna,Kaj,Kaj Linna,6-2 ,1/24/1971,"Helsinki, Finland",1991,BU,Helsinki,Finland,Finland
O'Sullivan,Kevin,Kevin O'Sullivan,5-11,11/13/1970,"Boston, Massachusetts",1991,BU,Boston,Massachusetts,United States
Bavis,Mike,Mike Bavis,6-0 ,3/13/1970,"Roslindale, Massachusetts",1991,BU,Roslindale,Massachusetts,United States
Bavis,Mark,Mark Bavis,6-1 ,3/13/1970,"Roslindale, Massachusetts",1991,BU,Roslindale,Massachusetts,United States
Dahlberg,Dave,Dave Dahlberg,6-0 ,2/23/1971,"Bloomington, Minnesota",1991,BU,Bloomington,Minnesota,United States
Friedman,Doug,Doug Friedman,5-11,9/1/1971,"Cape Elizabeth, Maine",1991,BU,Cape Elizabeth,Maine,United States
Jacques,John,John Jacques,5-11,,"Bellingham, Massachusetts",1991,BU,Bellingham,Massachusetts,United States
Jenkins,Jon,Jon Jenkins,5-11,11/6/1970,"Boston, Massachusetts",1991,BU,Boston,Massachusetts,United States
Koskimäki,Petteri,Petteri Koskimäki,6-2 ,5/5/1971,"Helsinki, Finland",1991,BU,Helsinki,Finland,Finland
Lilley,John,John Lilley,5-9 ,8/3/1972,"Wakefield, Massachusetts",1991,BU,Wakefield,Massachusetts,United States
Pomichter,Mike,Mike Pomichter,6-1 ,9/10/1973,"New Haven, Connecticut",1991,BU,New Haven,Connecticut,United States
Pratt,Jon,Jon Pratt,6-1 ,9/25/1970,"Danvers, Massachusetts",1991,BU,Danvers,Massachusetts,United States
Prendergast,Mike,Mike Prendergast,5-10,10/22/1972,"South Boston, Massachusetts",1991,BU,South Boston,Massachusetts,United States
Rausch,Kenny,Kenny Rausch,6-0 ,3/26/1973,"Danbury, Connecticut",1991,BU,Danbury,Connecticut,United States
Sacco,David,David Sacco,6-1 ,7/31/1971,"Malden, Massachusetts",1991,BU,Malden,Massachusetts,United States
Thornton,Steve,Steve Thornton,5-10,3/8/1973,"Edmonton, Alberta",1991,BU,Edmonton,Alberta,Canada
Vachon,Nick,Nick Vachon,5-10,7/20/1972,"Montreal, Quebec",1991,BU,Montreal,Quebec,Canada
Bise,Chris,Chris Bise,- ,,,1991,BU,,,
Cashman,Scott,Scott Cashman,6-2 ,9/20/1969,"Ottawa, Ontario",1991,BU,Ottawa,Ontario,Canada
Herlofsky,Derek,Derek Herlofsky,5-10,10/1/1971,"Minneapolis, Minnesota",1991,BU,Minneapolis,Minnesota,United States
McKersie,J.P.,J.P. McKersie,6-1 ,1/23/1972,"Madison, Wisconsin",1991,BU,Madison,Wisconsin,United States
Brennan,Rich,Rich Brennan,6-2 ,11/26/1972,"Schenectady, New York",1992,BU,Schenectady,New York,United States
Donato,Dan,Dan Donato,- ,05/15/1970,"Dedham, Massachusetts",1992,BU,Dedham,Massachusetts,United States
Foster,Stephen,Stephen Foster,6-3 ,3/21/1971,"Brockton, Massachusetts",1992,BU,Brockton,Massachusetts,United States
Linna,Kaj,Kaj Linna,6-2 ,1/24/1971,"Helsinki, Finland",1992,BU,Helsinki,Finland,Finland
O'Sullivan,Kevin,Kevin O'Sullivan,5-11,11/13/1970,"Boston, Massachusetts",1992,BU,Boston,Massachusetts,United States
O'Sullivan,Chris,Chris O'Sullivan,6-2 ,5/15/1974,"Dorchester, Massachusetts",1992,BU,Dorchester,Massachusetts,United States
Wood,Doug,Doug Wood,6-0 ,1/7/1974,"Waltham, Massachusetts",1992,BU,Waltham,Massachusetts,United States
Bavis,Mike,Mike Bavis,6-0 ,3/13/1970,"Roslindale, Massachusetts",1992,BU,Roslindale,Massachusetts,United States
Bavis,Mark,Mark Bavis,6-1 ,3/13/1970,"Roslindale, Massachusetts",1992,BU,Roslindale,Massachusetts,United States
Friedman,Doug,Doug Friedman,5-11,9/1/1971,"Cape Elizabeth, Maine",1992,BU,Cape Elizabeth,Maine,United States
Jenkins,Jon,Jon Jenkins,5-11,11/6/1970,"Boston, Massachusetts",1992,BU,Boston,Massachusetts,United States
Joubert,Jacques,Jacques Joubert,6-2 ,3/23/1971,"South Bend, Indiana",1992,BU,South Bend,Indiana,United States
Koskimäki,Petteri,Petteri Koskimäki,6-2 ,5/5/1971,"Helsinki, Finland",1992,BU,Helsinki,Finland,Finland
Lachance,Bob,Bob Lachance,6-0 ,2/1/1974,"Bristol, Connecticut",1992,BU,Bristol,Connecticut,United States
Lilley,John,John Lilley,5-9 ,8/3/1972,"Wakefield, Massachusetts",1992,BU,Wakefield,Massachusetts,United States
Pandolfo,Jay,Jay Pandolfo,6-1 ,12/27/1974,"Winchester, Massachusetts",1992,BU,Winchester,Massachusetts,United States
Pomichter,Mike,Mike Pomichter,6-1 ,9/10/1973,"New Haven, Connecticut",1992,BU,New Haven,Connecticut,United States
Pratt,Jon,Jon Pratt,6-1 ,9/25/1970,"Danvers, Massachusetts",1992,BU,Danvers,Massachusetts,United States
Prendergast,Mike,Mike Prendergast,5-10,10/22/1972,"South Boston, Massachusetts",1992,BU,South Boston,Massachusetts,United States
Rausch,Kenny,Kenny Rausch,6-0 ,3/26/1973,"Danbury, Connecticut",1992,BU,Danbury,Connecticut,United States
Sacco,David,David Sacco,6-1 ,7/31/1971,"Malden, Massachusetts",1992,BU,Malden,Massachusetts,United States
Thornton,Steve,Steve Thornton,5-10,3/8/1973,"Edmonton, Alberta",1992,BU,Edmonton,Alberta,Canada
Bise,Chris,Chris Bise,- ,,,1992,BU,,,
Cashman,Scott,Scott Cashman,6-2 ,9/20/1969,"Ottawa, Ontario",1992,BU,Ottawa,Ontario,Canada
Herlofsky,Derek,Derek Herlofsky,5-10,10/1/1971,"Minneapolis, Minnesota",1992,BU,Minneapolis,Minnesota,United States
McKersie,J.P.,J.P. McKersie,6-1 ,1/23/1972,"Madison, Wisconsin",1992,BU,Madison,Wisconsin,United States
Brennan,Rich,Rich Brennan,6-2 ,11/26/1972,"Schenectady, New York",1993,BU,Schenectady,New York,United States
Coleman,Jon,Jon Coleman,6-1 ,3/9/1975,"Boston, Massachusetts",1993,BU,Boston,Massachusetts,United States
Donato,Dan,Dan Donato,- ,05/15/1970,"Dedham, Massachusetts",1993,BU,Dedham,Massachusetts,United States
Foster,Stephen,Stephen Foster,6-3 ,3/21/1971,"Brockton, Massachusetts",1993,BU,Brockton,Massachusetts,United States
Johnson,Shane,Shane Johnson,5-10,1/1/1974,"Brandon, Manitoba",1993,BU,Brandon,Manitoba,Canada
Linna,Kaj,Kaj Linna,6-2 ,1/24/1971,"Helsinki, Finland",1993,BU,Helsinki,Finland,Finland
O'Sullivan,Chris,Chris O'Sullivan,6-2 ,5/15/1974,"Dorchester, Massachusetts",1993,BU,Dorchester,Massachusetts,United States
Wood,Doug,Doug Wood,6-0 ,1/7/1974,"Waltham, Massachusetts",1993,BU,Waltham,Massachusetts,United States
Bates,Shawn,Shawn Bates,6-0 ,4/3/1975,"Melrose, Massachusetts",1993,BU,Melrose,Massachusetts,United States
Dahlberg,Dave,Dave Dahlberg,6-0 ,2/23/1971,"Bloomington, Minnesota",1993,BU,Bloomington,Minnesota,United States
Friedman,Doug,Doug Friedman,5-11,9/1/1971,"Cape Elizabeth, Maine",1993,BU,Cape Elizabeth,Maine,United States
Grier,Mike,Mike Grier,6-1 ,1/5/1975,"Detroit, Michigan",1993,BU,Detroit,Michigan,United States
Jenkins,Jon,Jon Jenkins,5-11,11/6/1970,"Boston, Massachusetts",1993,BU,Boston,Massachusetts,United States
Joubert,Jacques,Jacques Joubert,6-2 ,3/23/1971,"South Bend, Indiana",1993,BU,South Bend,Indiana,United States
Lachance,Bob,Bob Lachance,6-0 ,2/1/1974,"Bristol, Connecticut",1993,BU,Bristol,Connecticut,United States
Pandolfo,Jay,Jay Pandolfo,6-1 ,12/27/1974,"Winchester, Massachusetts",1993,BU,Winchester,Massachusetts,United States
Pierce,Bill,Bill Pierce,6-1 ,10/6/1974,"Burlington, Massachusetts",1993,BU,Burlington,Massachusetts,United States
Pomichter,Mike,Mike Pomichter,6-1 ,9/10/1973,"New Haven, Connecticut",1993,BU,New Haven,Connecticut,United States
Pratt,Jon,Jon Pratt,6-1 ,9/25/1970,"Danvers, Massachusetts",1993,BU,Danvers,Massachusetts,United States
Prendergast,Mike,Mike Prendergast,5-10,10/22/1972,"South Boston, Massachusetts",1993,BU,South Boston,Massachusetts,United States
Rausch,Kenny,Kenny Rausch,6-0 ,3/26/1973,"Danbury, Connecticut",1993,BU,Danbury,Connecticut,United States
Thornton,Steve,Steve Thornton,5-10,3/8/1973,"Edmonton, Alberta",1993,BU,Edmonton,Alberta,Canada
Wright,Matt,Matt Wright,6-0 ,4/27/1973,"Belmont, Massachusetts",1993,BU,Belmont,Massachusetts,United States
Bise,Chris,Chris Bise,- ,,,1993,BU,,,
Ferullo,Shawn,Shawn Ferullo,5-8 ,,"Lynnfield, Massachusetts",1993,BU,Lynnfield,Massachusetts,United States
Herlofsky,Derek,Derek Herlofsky,5-10,10/1/1971,"Minneapolis, Minnesota",1993,BU,Minneapolis,Minnesota,United States
McKersie,J.P.,J.P. McKersie,6-1 ,1/23/1972,"Madison, Wisconsin",1993,BU,Madison,Wisconsin,United States
Alger,Rich,Rich Alger,6-2 ,,"Barnstable, Massachusetts",1994,BU,Barnstable,Massachusetts,United States
Brennan,Rich,Rich Brennan,6-2 ,11/26/1972,"Schenectady, New York",1994,BU,Schenectady,New York,United States
Coleman,Jon,Jon Coleman,6-1 ,3/9/1975,"Boston, Massachusetts",1994,BU,Boston,Massachusetts,United States
Johnson,Shane,Shane Johnson,5-10,1/1/1974,"Brandon, Manitoba",1994,BU,Brandon,Manitoba,Canada
Kealty,Jeff,Jeff Kealty,6-4 ,4/9/1976,"Newton, Massachusetts",1994,BU,Newton,Massachusetts,United States
Kelleher,Chris,Chris Kelleher,6-1 ,3/23/1975,"Belmont, Massachusetts",1994,BU,Belmont,Massachusetts,United States
Linna,Kaj,Kaj Linna,6-2 ,1/24/1971,"Helsinki, Finland",1994,BU,Helsinki,Finland,Finland
O'Sullivan,Chris,Chris O'Sullivan,6-2 ,5/15/1974,"Dorchester, Massachusetts",1994,BU,Dorchester,Massachusetts,United States
Wood,Doug,Doug Wood,6-0 ,1/7/1974,"Waltham, Massachusetts",1994,BU,Waltham,Massachusetts,United States
Bates,Shawn,Shawn Bates,6-0 ,4/3/1975,"Melrose, Massachusetts",1994,BU,Melrose,Massachusetts,United States
Donatelli,Peter,Peter Donatelli,5-10,11/05/1975,"North Providence, Rhode Island",1994,BU,North Providence,Rhode Island,United States
Drury,Chris,Chris Drury,5-10,8/20/1976,"Trumbull, Connecticut",1994,BU,Trumbull,Connecticut,United States
Grier,Mike,Mike Grier,6-1 ,1/5/1975,"Detroit, Michigan",1994,BU,Detroit,Michigan,United States
Hynes,John,John Hynes,5-9 ,2/10/1975,"Warwick, Rhode Island",1994,BU,Warwick,Rhode Island,United States
Joubert,Jacques,Jacques Joubert,6-2 ,3/23/1971,"South Bend, Indiana",1994,BU,South Bend,Indiana,United States
Lachance,Bob,Bob Lachance,6-0 ,2/1/1974,"Bristol, Connecticut",1994,BU,Bristol,Connecticut,United States
Pandolfo,Jay,Jay Pandolfo,6-1 ,12/27/1974,"Winchester, Massachusetts",1994,BU,Winchester,Massachusetts,United States
Pierce,Bill,Bill Pierce,6-1 ,10/6/1974,"Burlington, Massachusetts",1994,BU,Burlington,Massachusetts,United States
Prendergast,Mike,Mike Prendergast,5-10,10/22/1972,"South Boston, Massachusetts",1994,BU,South Boston,Massachusetts,United States
Rausch,Kenny,Kenny Rausch,6-0 ,3/26/1973,"Danbury, Connecticut",1994,BU,Danbury,Connecticut,United States
Sylvia,Mike,Mike Sylvia,- ,2/5/1976,"Newton, Massachusetts",1994,BU,Newton,Massachusetts,United States
Thornton,Steve,Steve Thornton,5-10,3/8/1973,"Edmonton, Alberta",1994,BU,Edmonton,Alberta,Canada
Wright,Matt,Matt Wright,6-0 ,4/27/1973,"Belmont, Massachusetts",1994,BU,Belmont,Massachusetts,United States
Ferullo,Shawn,Shawn Ferullo,5-8 ,04/03/1975,"Lynnfield, Massachusetts",1994,BU,Lynnfield,Massachusetts,United States
Herlofsky,Derek,Derek Herlofsky,5-10,10/1/1971,"Minneapolis, Minnesota",1994,BU,Minneapolis,Minnesota,United States
McKersie,J.P.,J.P. McKersie,6-1 ,1/23/1972,"Madison, Wisconsin",1994,BU,Madison,Wisconsin,United States
Noble,Tom,Tom Noble,5-10,3/21/1975,"Hanover, Massachusetts",1994,BU,Hanover,Massachusetts,United States
Alger,Rich,Rich Alger,6-2 ,,"Barnstable, Massachusetts",1995,BU,Barnstable,Massachusetts,United States
Coleman,Jon,Jon Coleman,6-1 ,3/9/1975,"Boston, Massachusetts",1995,BU,Boston,Massachusetts,United States
Johnson,Shane,Shane Johnson,5-10,1/1/1974,"Brandon, Manitoba",1995,BU,Brandon,Manitoba,Canada
Kealty,Jeff,Jeff Kealty,6-4 ,4/9/1976,"Newton, Massachusetts",1995,BU,Newton,Massachusetts,United States
Kelleher,Chris,Chris Kelleher,6-1 ,3/23/1975,"Belmont, Massachusetts",1995,BU,Belmont,Massachusetts,United States
O'Sullivan,Chris,Chris O'Sullivan,6-2 ,5/15/1974,"Dorchester, Massachusetts",1995,BU,Dorchester,Massachusetts,United States
Ronan,Dan,Dan Ronan,5-11,6/18/1975,"Woburn, Massachusetts",1995,BU,Woburn,Massachusetts,United States
Wood,Doug,Doug Wood,6-0 ,1/7/1974,"Waltham, Massachusetts",1995,BU,Waltham,Massachusetts,United States
Bates,Shawn,Shawn Bates,6-0 ,4/3/1975,"Melrose, Massachusetts",1995,BU,Melrose,Massachusetts,United States
Donatelli,Peter,Peter Donatelli,5-10,11/05/1975,"North Providence, Rhode Island",1995,BU,North Providence,Rhode Island,United States
Drury,Chris,Chris Drury,5-10,8/20/1976,"Trumbull, Connecticut",1995,BU,Trumbull,Connecticut,United States
Grier,Mike,Mike Grier,6-1 ,1/5/1975,"Detroit, Michigan",1995,BU,Detroit,Michigan,United States
Hynes,John,John Hynes,5-9 ,2/10/1975,"Warwick, Rhode Island",1995,BU,Warwick,Rhode Island,United States
King,Scott,Scott King,5-11,1/21/1977,"Saskatoon, Saskatchewan",1995,BU,Saskatoon,Saskatchewan,Canada
Lachance,Bob,Bob Lachance,6-0 ,2/1/1974,"Bristol, Connecticut",1995,BU,Bristol,Connecticut,United States
O'Connell,Albie,Albie O'Connell,6-0 ,5/20/1976,"Watertown, Massachusetts",1995,BU,Watertown,Massachusetts,United States
Pandolfo,Jay,Jay Pandolfo,6-1 ,12/27/1974,"Winchester, Massachusetts",1995,BU,Winchester,Massachusetts,United States
Pierce,Bill,Bill Pierce,6-1 ,10/6/1974,"Burlington, Massachusetts",1995,BU,Burlington,Massachusetts,United States
Roy,Travis,Travis Roy,5-11,4/17/1975,"Yarmouth, Maine",1995,BU,Yarmouth,Maine,United States
Sylvia,Mike,Mike Sylvia,- ,2/5/1976,"Newton, Massachusetts",1995,BU,Newton,Massachusetts,United States
Walsh,Brendan,Brendan Walsh,5-10,10/22/1974,"Dorchester, Massachusetts",1995,BU,Dorchester,Massachusetts,United States
Wright,Matt,Matt Wright,6-0 ,4/27/1973,"Belmont, Massachusetts",1995,BU,Belmont,Massachusetts,United States
Ferullo,Shawn,Shawn Ferullo,5-8 ,,"Lynnfield, Massachusetts",1995,BU,Lynnfield,Massachusetts,United States
Larocque,Michel,Michel Larocque,5-11,10/3/1976,"Lahr, Germany",1995,BU,Lahr,Germany,Germany
McKersie,J.P.,J.P. McKersie,6-1 ,1/23/1972,"Madison, Wisconsin",1995,BU,Madison,Wisconsin,United States
Noble,Tom,Tom Noble,5-10,3/21/1975,"Hanover, Massachusetts",1995,BU,Hanover,Massachusetts,United States
Alger,Rich,Rich Alger,6-2 ,,"Barnstable, Massachusetts",1996,BU,Barnstable,Massachusetts,United States
Coleman,Jon,Jon Coleman,6-1 ,3/9/1975,"Boston, Massachusetts",1996,BU,Boston,Massachusetts,United States
Johnson,Shane,Shane Johnson,5-10,1/1/1974,"Brandon, Manitoba",1996,BU,Brandon,Manitoba,Canada
Kealty,Jeff,Jeff Kealty,6-4 ,4/9/1976,"Newton, Massachusetts",1996,BU,Newton,Massachusetts,United States
Kelleher,Chris,Chris Kelleher,6-1 ,3/23/1975,"Belmont, Massachusetts",1996,BU,Belmont,Massachusetts,United States
Poti,Tom,Tom Poti,6-3 ,3/22/1977,"Worcester, Massachusetts",1996,BU,Worcester,Massachusetts,United States
Ronan,Dan,Dan Ronan,5-11,6/18/1975,"Woburn, Massachusetts",1996,BU,Woburn,Massachusetts,United States
Bates,Shawn,Shawn Bates,6-0 ,4/3/1975,"Melrose, Massachusetts",1996,BU,Melrose,Massachusetts,United States
Degerman,Tommi,Tommi Degerman,6-1 ,2/23/1976,"Helsinki, Finland",1996,BU,Helsinki,Finland,Finland
Donatelli,Peter,Peter Donatelli,5-10,,"North Providence, Rhode Island",1996,BU,North Providence,Rhode Island,United States
Drury,Chris,Chris Drury,5-10,8/20/1976,"Trumbull, Connecticut",1996,BU,Trumbull,Connecticut,United States
Hanson,Bobby,Bobby Hanson,6-0 ,2/26/1977,"Peabody, Massachusetts",1996,BU,Peabody,Massachusetts,United States
Heron,Chris,Chris Heron,5-10,4/8/1979,"Mississauga, Ontario",1996,BU,Mississauga,Ontario,Canada
Hynes,John,John Hynes,5-9 ,2/10/1975,"Warwick, Rhode Island",1996,BU,Warwick,Rhode Island,United States
LaCouture,Dan,Dan LaCouture,6-3 ,4/18/1977,"Hyannis, Massachusetts",1996,BU,Hyannis,Massachusetts,United States
O'Connell,Albie,Albie O'Connell,6-0 ,5/20/1976,"Watertown, Massachusetts",1996,BU,Watertown,Massachusetts,United States
Pierce,Bill,Bill Pierce,6-1 ,10/6/1974,"Burlington, Massachusetts",1996,BU,Burlington,Massachusetts,United States
Quebec,Greg,Greg Quebec,6-0 ,2/2/1978,"Acton, Massachusetts",1996,BU,Acton,Massachusetts,United States
Sylvia,Mike,Mike Sylvia,- ,2/5/1976,"Newton, Massachusetts",1996,BU,Newton,Massachusetts,United States
Walsh,Brendan,Brendan Walsh,5-10,10/22/1974,"Dorchester, Massachusetts",1996,BU,Dorchester,Massachusetts,United States
Wright,Matt,Matt Wright,6-0 ,4/27/1973,"Belmont, Massachusetts",1996,BU,Belmont,Massachusetts,United States
Ferullo,Shawn,Shawn Ferullo,5-8 ,,"Lynnfield, Massachusetts",1996,BU,Lynnfield,Massachusetts,United States
Larocque,Michel,Michel Larocque,5-11,10/3/1976,"Lahr, Germany",1996,BU,Lahr,Germany,Germany
Noble,Tom,Tom Noble,5-10,3/21/1975,"Hanover, Massachusetts",1996,BU,Hanover,Massachusetts,United States
DiPenta,Joe,Joe DiPenta,6-2 ,2/25/1979,"Barrie, Ontario",1997,BU,Barrie,Ontario,Canada
Emery,Keith,Keith Emery,6-0 ,3/30/1978,"Belmont, Massachusetts",1997,BU,Belmont,Massachusetts,United States
Kealty,Jeff,Jeff Kealty,6-4 ,4/9/1976,"Newton, Massachusetts",1997,BU,Newton,Massachusetts,United States
Kelleher,Chris,Chris Kelleher,6-1 ,3/23/1975,"Belmont, Massachusetts",1997,BU,Belmont,Massachusetts,United States
Poti,Tom,Tom Poti,6-3 ,3/22/1977,"Worcester, Massachusetts",1997,BU,Worcester,Massachusetts,United States
Ronan,Dan,Dan Ronan,5-11,6/18/1975,"Woburn, Massachusetts",1997,BU,Woburn,Massachusetts,United States
Sheen,Colin,Colin Sheen,6-1 ,1/17/1979,"Hopkinton, New Hampshire",1997,BU,Hopkinton,New Hampshire,United States
Bartlett,Russ,Russ Bartlett,6-2 ,2/10/1978,"Windham, New Hampshire",1997,BU,Windham,New Hampshire,United States
Campbell,Ryan,Ryan Campbell,6-2 ,,"Medford, New Jersey",1997,BU,Medford,New Jersey,United States
Corazzini,Carl,Carl Corazzini,5-9 ,4/21/1979,"Framingham, Massachusetts",1997,BU,Framingham,Massachusetts,United States
Degerman,Tommi,Tommi Degerman,6-1 ,2/23/1976,"Helsinki, Finland",1997,BU,Helsinki,Finland,Finland
Donatelli,Peter,Peter Donatelli,5-10,,"North Providence, Rhode Island",1997,BU,North Providence,Rhode Island,United States
Drury,Chris,Chris Drury,5-10,8/20/1976,"Trumbull, Connecticut",1997,BU,Trumbull,Connecticut,United States
Gillis,Nick,Nick Gillis,6-0 ,2/20/1978,"Winthrop, Massachusetts",1997,BU,Winthrop,Massachusetts,United States
Hanson,Bobby,Bobby Hanson,6-0 ,2/26/1977,"Peabody, Massachusetts",1997,BU,Peabody,Massachusetts,United States
Perry,Scott,Scott Perry,6-0 ,10/12/1978,"Dorchester, Massachusetts",1997,BU,Dorchester,Massachusetts,United States
Quebec,Greg,Greg Quebec,6-0 ,2/2/1978,"Acton, Massachusetts",1997,BU,Acton,Massachusetts,United States
Sylvia,Mike,Mike Sylvia,- ,2/5/1976,"Newton, Massachusetts",1997,BU,Newton,Massachusetts,United States
Vuori,Juha,Juha Vuori,6-0 ,3/21/1975,"Ulvila, Finland",1997,BU,Ulvila,Finland,Finland
Weston,Bob,Bob Weston,5-11,,"East Amherst, New York",1997,BU,East Amherst,New York,United States
Ferullo,Shawn,Shawn Ferullo,5-8 ,,"Lynnfield, Massachusetts",1997,BU,Lynnfield,Massachusetts,United States
Larocque,Michel,Michel Larocque,5-11,10/3/1976,"Lahr, Germany",1997,BU,Lahr,Germany,Germany
Noble,Tom,Tom Noble,5-10,3/21/1975,"Hanover, Massachusetts",1997,BU,Hanover,Massachusetts,United States
Aufiero,Pat,Pat Aufiero,6-0 ,7/1/1980,"Winchester, Massachusetts",1998,BU,Winchester,Massachusetts,United States
DiPenta,Joe,Joe DiPenta,6-2 ,2/25/1979,"Barrie, Ontario",1998,BU,Barrie,Ontario,Canada
